animal	Length	Family	Sire	Dam	Salinity	SireID	DamID	Protein	HC	TG	FA	CH	PL
154	0.084	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
155	0.087	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
156	0.081	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
157	0.083	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
158	0.057	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
159	0.086	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
160	0.094	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
161	0.08	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
162	0.084	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
163	0.075	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
164	0.085	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
165	0.075	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
166	0.08	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
167	0.058	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
168	0.065	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
169	0.065	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
170	0.068	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
171	0.07	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
172	0.087	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
173	0.069	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
174	0.073	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
175	0.069	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
176	0.064	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
177	0.08	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
178	0.05	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
179	0.08	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
180	0.071	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
181	0.081	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
182	0.075	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
183	0.067	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
184	0.061	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
185	0.076	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
186	0.077	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
187	0.077	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
188	0.049	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
189	0.059	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
190	0.082	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
191	0.056	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
192	0.066	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
193	0.067	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
194	0.071	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
195	0.07	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
196	0.064	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
197	0.06	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
198	0.067	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
199	0.056	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
200	0.078	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
201	0.067	AU	H	L	L	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
202	0.074	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
203	0.077	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
204	0.075	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
205	0.07	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
206	0.085	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
207	0.09	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
208	0.067	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
209	0.089	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
210	0.075	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
211	0.066	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
212	0.062	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
213	0.075	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
214	0.079	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
215	0.071	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
216	0.07	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
217	0.078	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
218	0.07	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
219	0.065	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
220	0.08	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
221	0.064	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
222	0.069	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
223	0.067	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
224	0.055	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
225	0.068	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
226	0.079	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
227	0.078	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
228	0.08	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
229	0.065	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
230	0.077	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
231	0.072	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
232	0.081	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
233	0.102	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
234	0.092	AU	H	L	H	SH11	DL4	20.58057321	18.84188596	225.0536146	38.63448127	12.56033814	491.7018933
