animal	Length	Family	Sire	Dam	Salinity	SireID	DamID
448	0.07	AY	L	L	L	SL6	DL8
449	0.077	AY	L	L	L	SL6	DL8
450	0.064	AY	L	L	L	SL6	DL8
451	0.085	AY	L	L	L	SL6	DL8
452	0.062	AY	L	L	L	SL6	DL8
453	0.071	AY	L	L	L	SL6	DL8
454	0.088	AY	L	L	L	SL6	DL8
455	0.075	AY	L	L	L	SL6	DL8
456	0.074	AY	L	L	L	SL6	DL8
457	0.062	AY	L	L	L	SL6	DL8
458	0.079	AY	L	L	L	SL6	DL8
459	0.089	AY	L	L	L	SL6	DL8
460	0.075	AY	L	L	L	SL6	DL8
461	0.095	AY	L	L	L	SL6	DL8
462	0.084	AY	L	L	L	SL6	DL8
463	0.085	AY	L	L	L	SL6	DL8
464	0.079	AY	L	L	L	SL6	DL8
465	0.087	AY	L	L	L	SL6	DL8
466	0.076	AY	L	L	L	SL6	DL8
467	0.086	AY	L	L	L	SL6	DL8
468	0.086	AY	L	L	L	SL6	DL8
469	0.09	AY	L	L	L	SL6	DL8
470	0.076	AY	L	L	L	SL6	DL8
471	0.088	AY	L	L	L	SL6	DL8
472	0.085	AY	L	L	L	SL6	DL8
473	0.085	AY	L	L	L	SL6	DL8
474	0.087	AY	L	L	L	SL6	DL8
475	0.071	AY	L	L	L	SL6	DL8
476	0.094	AY	L	L	L	SL6	DL8
477	0.078	AY	L	L	L	SL6	DL8
478	0.104	AY	L	L	L	SL6	DL8
479	0.085	AY	L	L	L	SL6	DL8
480	0.079	AY	L	L	L	SL6	DL8
481	0.071	AY	L	L	L	SL6	DL8
482	0.079	AY	L	L	H	SL6	DL8
483	0.103	AY	L	L	H	SL6	DL8
484	0.092	AY	L	L	H	SL6	DL8
485	0.07	AY	L	L	H	SL6	DL8
486	0.092	AY	L	L	H	SL6	DL8
487	0.071	AY	L	L	H	SL6	DL8
488	0.088	AY	L	L	H	SL6	DL8
489	0.079	AY	L	L	H	SL6	DL8
490	0.08	AY	L	L	H	SL6	DL8
491	0.081	AY	L	L	H	SL6	DL8
492	0.098	AY	L	L	H	SL6	DL8
493	0.093	AY	L	L	H	SL6	DL8
494	0.087	AY	L	L	H	SL6	DL8
495	0.09	AY	L	L	H	SL6	DL8
496	0.079	AY	L	L	H	SL6	DL8
497	0.087	AY	L	L	H	SL6	DL8
498	0.097	AY	L	L	H	SL6	DL8
499	0.088	AY	L	L	H	SL6	DL8
500	0.098	AY	L	L	H	SL6	DL8
501	0.084	AY	L	L	H	SL6	DL8
502	0.083	AY	L	L	H	SL6	DL8
503	0.093	AY	L	L	H	SL6	DL8
504	0.083	AY	L	L	H	SL6	DL8
505	0.11	AY	L	L	H	SL6	DL8
506	0.092	AY	L	L	H	SL6	DL8
507	0.092	AY	L	L	H	SL6	DL8
508	0.095	AY	L	L	H	SL6	DL8
509	0.087	AY	L	L	H	SL6	DL8
510	0.105	AY	L	L	H	SL6	DL8
511	0.096	AY	L	L	H	SL6	DL8
512	0.112	AY	L	L	H	SL6	DL8
513	0.08	AY	L	L	H	SL6	DL8
514	0.104	AY	L	L	H	SL6	DL8
515	0.094	AY	L	L	H	SL6	DL8
516	0.097	AY	L	L	H	SL6	DL8
517	0.073	AY	L	L	H	SL6	DL8
518	0.076	AY	L	L	H	SL6	DL8
519	0.104	AY	L	L	H	SL6	DL8
520	0.087	AY	L	L	H	SL6	DL8
521	0.1	AY	L	L	H	SL6	DL8
522	0.098	AY	L	L	H	SL6	DL8
523	0.093	AY	L	L	H	SL6	DL8
524	0.102	AY	L	L	H	SL6	DL8
525	0.092	AY	L	L	H	SL6	DL8
526	0.091	AY	L	L	H	SL6	DL8
527	0.1	AY	L	L	H	SL6	DL8
528	0.098	AY	L	L	H	SL6	DL8
529	0.087	AY	L	L	H	SL6	DL8
530	0.098	AY	L	L	H	SL6	DL8
531	0.073	AY	L	L	H	SL6	DL8
532	0.087	AY	L	L	H	SL6	DL8
533	0.102	AY	L	L	H	SL6	DL8
534	0.091	AY	L	L	H	SL6	DL8
535	0.087	AZ	L	L	H	SL6	DL9
536	0.101	AZ	L	L	H	SL6	DL9
537	0.066	AZ	L	L	H	SL6	DL9
538	0.08	AZ	L	L	H	SL6	DL9
539	0.09	AZ	L	L	H	SL6	DL9
540	0.082	AZ	L	L	H	SL6	DL9
541	0.079	AZ	L	L	H	SL6	DL9
542	0.099	AZ	L	L	H	SL6	DL9
543	0.062	AZ	L	L	H	SL6	DL9
544	0.081	AZ	L	L	H	SL6	DL9
545	0.07	AZ	L	L	H	SL6	DL9
546	0.095	AZ	L	L	H	SL6	DL9
547	0.07	AZ	L	L	H	SL6	DL9
548	0.066	AZ	L	L	H	SL6	DL9
549	0.094	AZ	L	L	H	SL6	DL9
550	0.086	AZ	L	L	H	SL6	DL9
551	0.072	AZ	L	L	H	SL6	DL9
552	0.087	AZ	L	L	H	SL6	DL9
553	0.072	AZ	L	L	H	SL6	DL9
554	0.068	AZ	L	L	H	SL6	DL9
555	0.091	AZ	L	L	H	SL6	DL9
556	0.066	AZ	L	L	H	SL6	DL9
557	0.076	AZ	L	L	H	SL6	DL9
558	0.073	AZ	L	L	H	SL6	DL9
559	0.078	AZ	L	L	H	SL6	DL9
560	0.085	AZ	L	L	H	SL6	DL9
561	0.086	AZ	L	L	H	SL6	DL9
562	0.08	AZ	L	L	H	SL6	DL9
563	0.068	AZ	L	L	H	SL6	DL9
564	0.082	AZ	L	L	H	SL6	DL9
565	0.095	AZ	L	L	H	SL6	DL9
566	0.069	AZ	L	L	H	SL6	DL9
567	0.08	AZ	L	L	H	SL6	DL9
568	0.085	AZ	L	L	H	SL6	DL9
569	0.085	AZ	L	L	H	SL6	DL9
570	0.064	AZ	L	L	H	SL6	DL9
571	0.063	AZ	L	L	H	SL6	DL9
572	0.099	AZ	L	L	H	SL6	DL9
573	0.098	AZ	L	L	H	SL6	DL9
574	0.087	AZ	L	L	H	SL6	DL9
575	0.078	AZ	L	L	H	SL6	DL9
576	0.103	AZ	L	L	H	SL6	DL9
577	0.079	AZ	L	L	H	SL6	DL9
578	0.091	AZ	L	L	H	SL6	DL9
579	0.089	AZ	L	L	H	SL6	DL9
580	0.094	AZ	L	L	H	SL6	DL9
581	0.079	AZ	L	L	H	SL6	DL9
582	0.102	AZ	L	L	H	SL6	DL9
583	0.096	AZ	L	L	H	SL6	DL9
584	0.105	AZ	L	L	H	SL6	DL9
585	0.09	AZ	L	L	H	SL6	DL9
586	0.081	AZ	L	L	H	SL6	DL9
587	0.093	AZ	L	L	H	SL6	DL9
588	0.101	AZ	L	L	H	SL6	DL9
589	0.087	AZ	L	L	H	SL6	DL9
590	0.109	AZ	L	L	H	SL6	DL9
591	0.105	AZ	L	L	H	SL6	DL9
592	0.094	AZ	L	L	H	SL6	DL9
593	0.085	AZ	L	L	H	SL6	DL9
594	0.076	AZ	L	L	H	SL6	DL9
595	0.104	AZ	L	L	H	SL6	DL9
596	0.073	AZ	L	L	H	SL6	DL9
597	0.112	BA	L	H	L	SL6	DH4
598	0.095	BA	L	H	L	SL6	DH4
599	0.055	BA	L	H	L	SL6	DH4
